Gene	cont_rep1	cont_rep2	treat_rep1	treat_rep1
CG8736	0	0	2	0
CG8738	1	0	3	0
CG8740	14	6	11	0
CG8745	55	10	129	5
CG8746	0	1	0	0
CG8750	0	0	0	0
CG8757	0	0	1	0
CG8765	100	68	179	22
CG8768	369	210	241	44
CG8771	50	65	49	39
CG8773	2	11	1	1
CG8774	0	0	3	0
CG8777	459	167	353	48
CG8778	1500	1826	1089	369
CG8783	443	520	511	77
CG8784	0	1	1	2
CG8785	0	1	8	0
CG8786	81	100	67	18
CG8788	35	89	47	13
CG8791	416	178	169	22
CG8795	0	0	0	0
CG8800	3	9	5	0
CG8801	2574	2194	2126	301
CG8813	4	0	6	0
CG8814	793	804	581	138
CG8818	954	666	587	165
CG8830	326	133	442	19
CG8833	48	56	50	10
CG8834	2	6	0	1
CG8837	0	0	4	0
CG8838	9	8	6	1
CG8839	952	635	745	120
CG8840	0	0	0	0
CG8841	1655	890	1009	117
CG8850	0	0	1	0
CG8851	1	0	0	0
CG8852	1	0	0	0
CG8854	19	4	81	0
CG8858	47	63	84	18
CG8860	1094	919	1030	189
CG8861	0	0	0	0
CG8866	391	335	437	44
CG8870	0	1	11	0
CG8878	158	77	131	29
CG8888	7	3	1	0
CG8891	613	371	550	128
CG8892	960	526	761	106
CG8907	1	14	1	0
CG8908	66	24	88	18
CG8909	7	0	8	0
CG8910	3	0	9	0
CG8915	850	336	625	58
CG8916	0	0	1	5
CG8918	0	0	5	0
CG8920	182	109	284	23
CG8924	85	96	146	16
CG8925	0	0	0	0
CG8927	0	0	12	0
CG8929	118	60	121	1
CG8931	170	282	222	43
CG8939	55	101	113	21
CG8944	121	134	181	22
CG8945	2	0	16	0
CG8949	465	156	452	19
CG8950	351	168	366	35
CG8952	3	4	4	0
CG8958	5	0	0	0
CG8960	0	0	0	0
CG8963	1051	403	909	79
CG8964	14	35	71	29
CG8965	15	7	47	0
CG8974	107	159	143	28
CG8993	1113	802	792	236
CG8997	0	1	3	0
CG9003	76	96	51	25
CG9004	11	10	6	3
CG9005	1267	649	1203	134
CG9007	155	237	135	90
CG9008	151	48	110	25
CG9010	0	0	1	0
CG9014	0	0	0	0
CG9016	0	1	0	0
CG9018	102	115	138	7
CG9021	0	0	0	0
CG9029	0	0	0	0
CG9030	0	0	11	0
CG9034	1675	1419	702	179
CG9040	0	0	1	0
CG9044	38	30	42	6
CG9059	20	1	14	1
CG9062	587	292	480	52
CG9065	389	397	256	69
CG9067	146	124	104	25
CG9068	0	0	1	0
CG9072	7	0	0	0
CG9083	0	0	0	0
CG9084	1	0	0	0
CG9086	411	279	479	59
CG9090	1	0	1	2
CG9095	1	2	1	0
CG9098	58	7	29	0
CG9099	1045	1399	868	200
CG9101	0	0	1	0
CG9104	442	358	275	66
CG9106	0	0	0	0
CG9107	364	165	234	64
CG9109	0	0	3	0
CG9114	625	369	489	85
CG9117	358	203	189	44
CG9119	27	10	46	8
CG9121	8	2	26	8
CG9123	72	39	68	16
CG9125	802	522	443	69
CG9129	3	1	3	0
CG9130	0	0	5	0
CG9132	948	488	547	57
CG9133	0	0	5	0
CG9134	0	1	0	0
CG9135	4795	1621	3057	282
CG9140	3180	1918	2508	308
CG9143	219	258	305	36
CG9147	579	392	390	97
CG9149	2145	1633	1412	367
CG9150	10	0	8	0
CG9153	853	413	551	70
CG9154	179	130	136	27
CG9164	0	0	1	0
CG9168	0	0	1	0
CG9170	11	1	19	0
CG9171	700	399	508	50
CG9172	1745	1203	1240	221
CG9173	1	0	0	0
CG9175	811	298	512	62
CG9184	0	0	0	0
CG9186	845	578	585	100
CG9192	2	1	2	0
CG9194	5	0	13	0
CG9203	184	107	119	14
CG9205	669	278	343	71
CG9213	681	353	442	61
CG9215	464	234	345	46
CG9220	11	11	49	3
CG9222	0	0	0	0
CG9231	3819	3439	2442	961
CG9235	1	0	0	0
CG9236	8	4	8	4
CG9238	157	303	149	55
CG9240	618	224	390	84
CG9246	175	345	291	54
CG9248	318	123	387	18
CG9249	342	240	189	46
CG9253	76	88	173	20
CG9254	1	0	1	1
CG9257	258	565	290	86
CG9259	0	0	38	16
CG9263	0	0	0	0
CG9265	504	328	266	59
CG9267	874	359	918	106
CG9269	1	0	0	0
CG9270	12	0	13	0
CG9272	168	234	166	49
CG9279	11	0	12	0
CG9281	5415	2481	3457	265
CG9286	48	74	95	10
CG9287	2	0	0	0
CG9288	278	355	229	60
CG9289	1	0	9	0
CG9293	44	105	38	52
CG9294	0	0	1	0
CG9297	0	0	0	0
CG9300	737	693	677	157
CG9302	1370	1262	1404	241
CG9304	805	360	466	50
CG9305	33	57	72	7
CG9306	552	582	727	138
CG9308	0	0	2	0
CG9312	0	0	1	0
CG9313	1	0	8	0
CG9314	0	0	1	0
CG9316	2	1	1	1
CG9317	0	0	0	0
CG9318	89	232	102	27
CG9319	92	78	55	9
CG9323	54	78	93	16
CG9328	174	110	209	29
CG9330	72	235	219	51
CG9331	76	89	97	7
CG9335	1	3	0	0
CG9336	600	442	177	128
CG9338	8	8	12	1
CG9344	1887	1249	1422	310
CG9346	46	41	69	11
CG9350	1699	1656	1097	376
CG9356	1272	685	868	144
CG9360	10	8	19	1
CG9368	0	0	0	0
CG9372	16	6	23	1
CG9376	211	323	213	69
CG9377	0	0	1	0
CG9380	356	160	44	9
CG9384	379	141	354	23
CG9386	10	32	33	1
CG9389	7	0	11	1
CG9391	874	1160	811	271
CG9392	2	1	3	0
CG9393	1162	624	736	112
CG9394	86	38	50	8
CG9395	6	0	1	0
CG9396	8	11	17	2
CG9399	239	104	207	33
CG9400	28	6	4	1
CG9406	2	0	2	0
CG9410	222	178	173	38
CG9411	0	0	0	0
CG9413	106	9	127	10
CG9416	9	1	18	1
CG9418	339	272	242	63
CG9422	661	373	405	91
CG9425	293	199	315	27
CG9426	511	300	548	46
CG9427	46	12	18	3
CG9430	0	0	0	0
CG9436	838	934	312	78
CG9437	455	373	394	102
CG9444	0	0	23	0
CG9445	0	0	0	0
CG9447	0	1	2	0
CG9449	65	22	142	9
CG9451	0	0	1	1
CG9452	1	0	2	0
CG9458	0	1	0	0
CG9459	0	2	2	0
CG9463	0	9	4	1
CG9465	0	0	3	0
CG9466	7	0	1	0
CG9467	64	47	79	13
CG9468	0	1	1	0
CG9471	577	431	401	104
CG9483	1	0	0	0
CG9485	569	396	773	64
CG9486	5	0	1	0
CG9492	23	0	3	0
CG9497	3	2	1	0
CG9498	12	4	23	2
CG9500	0	0	0	0
CG9503	96	57	101	12
CG9505	31	19	45	0
CG9507	1	0	4	0
CG9509	15	21	61	14
CG9510	86	276	125	54
CG9512	60	5	49	5
CG9514	0	0	6	0
CG9515	400	129	379	66
CG9517	0	0	13	0
CG9518	0	0	11	0
CG9519	0	0	2	0
CG9521	14	0	9	0
CG9522	0	0	2	0
CG9525	4	0	0	0
CG9527	91	99	114	19
CG9531	402	369	300	86
CG9536	1076	518	654	93
CG9541	1	0	6	0
CG9547	400	271	318	52
CG9548	536	624	445	73
CG9550	0	1	1	0
CG9555	1	8	1	0
CG9568	0	0	5	0
CG9570	0	0	1	0
CG9572	1	0	0	0
CG9577	145	65	102	10
CG9578	276	242	239	22
CG9581	737	333	503	73
CG9582	0	0	0	0
CG9586	155	151	221	44
CG9588	1142	1050	880	258
CG9589	0	0	0	4
CG9590	436	368	372	83
CG9592	1	0	0	0
CG9593	1	2	9	0
CG9596	165	141	231	22
CG9601	648	482	492	100
CG9602	0	0	0	0
CG9603	143	144	128	13
CG9609	305	327	332	60
CG9616	1	0	0	0
CG9624	1	0	1	0
CG9626	0	14	7	11
CG9628	21	14	3	6
CG9629	26	5	29	3
CG9630	292	182	317	28
CG9631	7	0	0	0
CG9632	0	0	0	0
CG9634	124	96	145	21
CG9636	45	44	47	6
CG9640	11	7	26	0
CG9641	1970	603	674	87
CG9642	1	0	5	0
CG9643	189	286	112	57
CG9646	311	124	305	31
CG9649	0	2	2	0
CG9650	91	35	28	3
CG9657	0	0	0	0
CG9662	440	94	403	31
CG9663	72	42	33	6
CG9664	0	0	0	0
CG9666	445	598	265	78
CG9667	371	439	375	93
CG9669	696	272	812	81
CG9672	0	6	2	0
CG9673	1	2	2	0
CG9674	212	180	462	65
CG9676	6	0	2	1
CG9682	1	15	1	0
CG9684	47	40	29	13
CG9686	2	0	3	0
CG9689	1	0	1	0
CG9691	3	0	8	2
CG9692	6	0	4	0
CG9698	2	0	0	0
CG9701	1	0	2	0
CG9702	0	0	6	3
CG9705	371	350	291	56
CG9706	316	369	382	60
CG9715	18	44	19	15
CG9717	5	0	11	1
CG9722	0	0	2	0
CG9723	867	765	751	176
CG9727	183	102	103	19
CG9733	8	0	4	0
CG9737	1	0	2	1
CG9740	416	479	419	148
CG9743	21	12	13	3
CG9747	992	83	1394	39
CG9752	321	312	214	90
CG9754	23	33	32	6
CG9757	0	0	0	0
CG9759	0	0	2	0
CG9760	13	0	1	0
CG9766	7	0	2	0
CG9769	3230	2384	2769	642
CG9773	707	435	440	82
CG9775	3675	2500	2068	483
CG9776	249	218	334	39
CG9777	3	1	3	0
CG9780	4	0	3	0
CG9782	7	0	0	0
CG9784	100	105	138	12
CG9791	59	104	103	17
CG9795	273	128	221	27
CG9796	8961	6156	5522	1449
CG9797	744	578	588	151
CG9799	849	555	1126	85
CG9801	535	187	309	28
CG9804	430	660	307	147
CG9806	2	0	1	0
CG9812	0	0	0	0
CG9813	3	0	1	0
CG9815	28	0	33	2
CG9821	406	478	214	167
CG9822	1	0	0	0
CG9825	0	0	6	0
CG9826	0	0	1	0
CG9836	1324	988	1112	248
CG9837	23	1	25	0
CG9839	8	45	25	7
CG9849	425	467	324	88
CG9850	46	3	143	0
CG9853	1437	1138	1125	218
CG9855	863	801	720	181
CG9861	0	0	0	1
CG9863	0	0	0	0
CG9864	577	172	385	21
CG9865	1	58	33	7
CG9866	255	107	256	23
CG9870	9	27	8	1
CG9875	0	0	0	0
CG9876	0	0	1	0
CG9877	0	0	0	0
CG9879	3	0	0	0
CG9883	63	72	80	11
CG9886	96	55	31	6
CG9890	383	328	374	62
CG9894	3694	2777	2378	429
CG9896	448	343	148	21
CG9897	2	1	0	1
CG9899	0	0	2	0
CG9902	3	4	8	1
CG9903	3	0	0	0
CG9911	197	315	443	48
CG9914	215	93	124	15
CG9915	114	259	270	53
CG9917	2722	3081	1940	738
CG9919	5	1	1	1
CG9920	0	2	0	0
CG9921	1825	2746	1434	743
CG9922	2009	1304	1769	324
CG9925	128	236	198	69
CG9926	1524	1859	1031	580
CG9928	18	0	9	0
CG9932	155	42	199	15
CG9934	103	155	238	22
CG9935	0	0	4	2
CG9940	1003	451	756	84
CG9941	545	448	536	90
CG9945	199	308	364	33
CG9947	307	41	287	13
CG9948	493	295	398	53
CG9951	906	497	815	139
CG9953	460	806	803	85
CG9960	390	356	305	58
CG9961	18	4	42	6
CG9962	0	0	0	0
CG9967	345	160	257	38
CG9970	0	0	0	0
CG9975	0	0	0	0
CG9977	274	131	310	29
CG9981	1	0	8	3
CG9986	205	256	262	41
CG9987	963	604	610	107
CG9988	1	1	5	0
CG9989	0	0	0	0
CG9990	206	36	321	3
CG9992	834	354	712	135
CG9993	0	0	0	0
CG9996	329	219	318	62
CG9997	2	0	0	0
CHES-1-like	252	64	162	17
CHIP	800	509	753	159
CHKov1	138	31	168	13
CHKov2	4	3	2	1
CHMP2B	484	532	329	90
CHORD	64	78	79	14
CHOp24	2570	1591	2346	387
CLIP-190	145	74	180	9
CLS	393	390	370	77
CNT1	1	2	5	0
COQ7	548	488	469	103
CORL	68	39	32	0
CREG	267	166	174	39
CRMP	92	35	56	2
CS-2	0	1	6	0
CSN1a	1	0	0	0
CSN1b	662	459	754	86
CSN3	542	401	461	84
CSN4	1107	507	810	90
CSN5	558	946	806	145
CSN6	304	278	319	68
CSN7	1466	555	1002	119
CSN8	941	579	847	203
CTCF	236	270	207	36
CTPsyn	647	731	592	88
CYLD	6	30	11	5
Ca-P60A	54	135	91	26
Ca-alpha1D	2	2	0	0
Ca-alpha1T	3	2	5	4
Ca-beta	5	5	11	0
CaBP1	1612	906	1947	199
CaMKI	2016	1493	2171	530
CaMKII	1325	786	1141	193
Cad74A	9	22	24	14
Cad86C	12	7	5	0
Cad87A	73	105	69	31
Cad88C	11	1	17	1
Cad89D	0	0	2	3
Cad96Ca	3	0	4	0
Cad96Cb	4	1	0	0
Cad99C	208	21	480	14
CadN	8	5	14	0
CadN2	0	0	1	0
Caf1	251	566	423	94
Caf1-105	109	157	127	30
Caf1-180	51	84	52	18
CalpA	35	34	2	6
CalpB	1236	486	864	71
CalpC	216	152	223	18
Cals	89	109	125	105
Calx	1511	880	630	105
Cam	217	273	373	81
Camta	55	26	16	4
CanA-14F	983	342	1078	39
CanA1	0	0	1	3
CanB	0	0	0	0
CanB2	2337	2092	2171	526
Cand1	200	258	443	44
Cap	112	218	191	20
Cap-D3	38	71	83	19
Cap-G	47	126	232	24
Cap-H2	66	30	28	5
Capr	321	245	431	75
Caps	85	35	32	12
Cas	142	239	320	60
Cat	355	128	409	48
Catsup	305	284	335	48
Cbl	884	428	715	79
Cbp20	881	937	599	211
Cbp53E	4	0	1	1
Cbp80	106	147	186	29
Cbs	4019	1551	2455	373
Cby	0	0	1	0
Ccap	0	0	1	0
CcapR	2	6	5	0
Ccdc56	618	682	538	95
Cchl	2147	1278	1664	432
Ccn	0	0	2	0
Ccp84Aa	0	0	0	0
Ccp84Ab	0	0	0	0
Ccp84Ac	0	1	2	0
Ccp84Ad	0	1	0	0
Ccp84Ae	0	0	10	0
Ccp84Af	0	0	0	0
Ccp84Ag	1	0	5	0
Cct1	436	95	393	33
Cct2	7	2	14	0
Cct5	9284	3314	8719	539
Cctgamma	6599	3672	4649	656
CdGAPr	67	57	56	24
Cda4	0	1	0	0
Cda5	16	8	13	0
Cda9	1	0	0	0
Cdc27	289	222	395	42
Cdc37	66	86	121	21
Cdc42	112	147	363	54
Cdc6	298	469	374	89
Cdep	67	44	43	11
Cdk12	314	288	360	50
Cdk4	265	292	236	107
Cdk5	1035	699	808	187
Cdk5alpha	0	0	0	0
Cdk7	1379	731	949	183
Cdk8	298	259	242	46
Cdk9	32	56	35	6
Cdlc2	0	0	0	0
CdsA	55	128	76	32
CecA1	3	0	40	3
CecA2	0	0	4	0
CecB	2	2	0	0
CecC	0	0	2	0
Ced-12	14	39	22	8
Cen	55	76	65	41
Cenp-C	19	40	17	6
Cep135	19	34	17	1
Cep97	35	88	55	14
Cerk	1684	879	1232	155
Cf2	156	54	181	27
Cfp1	605	259	490	49
Cg25C	137	37	293	9
ChLD3	41	2	33	0
Cha	0	1	1	0
Chc	1121	930	1917	238
Chd1	437	448	775	77
Chd3	80	88	160	17
Chd64	327	89	624	37
Che-13	1	0	2	0
CheA29a	0	0	0	0
CheA46a	0	0	0	0
CheA56a	0	0	0	0
CheA75a	0	1	0	1
CheA7a	0	0	0	0
CheA84a	0	0	0	0
CheA86a	0	0	0	0
CheA87a	0	0	0	0
CheB38a	0	0	0	0
CheB38b	0	0	2	0
CheB38c	0	0	0	0
CheB42a	1	0	1	0
CheB42b	3	0	1	0
CheB42c	0	39	3	17
CheB53a	0	0	0	0
CheB53b	0	0	0	0
CheB74a	0	0	0	0
CheB93a	5	0	5	0
CheB93b	0	0	0	0
CheB98a	0	0	4	0
Chi	1836	966	847	145
Chmp1	1404	852	893	182
Chrac-14	381	470	221	101
Chrac-16	2030	1457	903	158
Chro	474	484	848	102
Cht11	890	712	521	154
Cht12	3	0	3	1
Cht2	2515	1021	1112	175
Cht3	12	22	21	2
Cht4	0	0	2	0
Cht5	1	0	2	0
Cht6	8	0	18	0
Cht7	34	1	7	0
Cht8	4	4	3	0
Cht9	2	3	12	0
Ciao1	662	325	482	54
Cip4	498	112	486	38
Cirl	510	142	504	40
CkIIalpha	1161	2008	3383	979
CkIIalpha-i1	16	12	13	1
CkIIalpha-i3	146	171	85	39
CkIIbeta	637	777	892	193
CkIIbeta2	2	2	2	0
CkIalpha	1193	556	1448	128
Cka	553	139	655	71
Cks30A	98	69	94	21
Cks85A	910	982	774	236
ClC-a	17	14	49	0
ClC-b	292	178	357	26
ClC-c	128	171	337	45
Claspin	19	37	22	12
Clbn	49	51	38	36
Clc	2270	1808	1524	350
Clect27	0	0	0	0
Clic	555	519	620	171
Clk	8	10	0	0
Clp	691	620	572	166
Cnb	84	73	74	3
Cng	2	1	3	0
Cnot4	91	84	161	37
Cnx14D	1	0	0	0
Cnx99A	611	475	942	77
CoIV	1558	1734	1429	259
CoRest	3311	1292	2270	295
CoVIII	2616	2313	1964	585
CoVIIc	2191	3135	2607	805
CoVIb	423	443	310	68
CoVa	6655	3892	5146	744
CoVb	4066	3801	3213	1033
Cog3	397	150	267	33
Cog7	325	358	390	85
Con	0	0	0	2
Cont	154	138	174	43
Coop	36	11	17	6
Coprox	965	431	622	98
Coq2	516	308	318	59
Corin	14	0	2	0
Corp	443	308	361	105
Cortactin	188	150	217	21
Cp1	22961	8182	13578	1715
Cp110	410	180	210	69
Cp15	52700	4474	46875	3362
Cp16	5758	901	7028	353
Cp18	9928	1158	14466	607
Cp19	23568	2572	19254	974
Cp190	23	82	10	23
Cp36	46472	4298	47355	2383
Cp38	31470	2250	39460	1345
Cp7Fa	236	43	577	24
Cp7Fb	307	86	1223	53
Cp7Fc	619	44	953	41
Cpn	0	0	8	0
Cpr	821	294	780	36
Cpr100A	0	0	0	0
Cpr11A	1	0	2	0
Cpr11B	0	0	0	0
Cpr12A	0	0	0	0
Cpr23B	0	1	1	0
Cpr30B	0	0	4	1
Cpr30F	2	0	0	0
Cpr31A	0	0	0	0
Cpr35B	0	0	2	0
Cpr47Ea	1	0	0	0
Cpr47Eb	0	0	1	0
Cpr47Ec	0	0	0	0
Cpr47Ed	0	0	8	0
Cpr47Ee	4	0	0	0
Cpr47Ef	0	0	4	0
Cpr47Eg	2	0	0	0
Cpr49Aa	0	0	0	0
Cpr49Ab	0	0	0	0
Cpr49Ac	0	0	0	0
Cpr49Ad	0	0	3	0
Cpr49Ae	0	0	0	0
Cpr49Af	0	0	0	0
Cpr49Ag	1	0	0	0
Cpr49Ah	0	0	3	0
Cpr50Ca	2	0	1	0
Cpr50Cb	1	0	0	0
Cpr51A	7	1	9	0
Cpr56F	4	0	3	1
Cpr57A	0	0	0	0
Cpr5C	0	0	0	0
Cpr60D	0	0	0	0
Cpr62Ba	1	0	0	0
Cpr62Bb	3	0	0	0
Cpr62Bc	0	0	0	0
Cpr64Aa	0	0	2	0
Cpr64Ab	0	0	2	0
Cpr64Ac	0	0	2	0
Cpr64Ad	0	0	0	0
Cpr65Au	0	0	0	0
Cpr65Av	0	0	0	0
Cpr65Aw	0	0	0	0
Cpr65Ax1	0	0	0	0
Cpr65Ax2	1	0	0	0
Cpr65Ay	0	0	0	0
Cpr65Az	0	0	0	0
Cpr65Ea	0	0	0	0
Cpr65Eb	0	0	0	0
Cpr65Ec	0	0	0	0
Cpr66Cb	1	0	1	0
Cpr66D	8	0	14	0
Cpr67B	0	1	0	1
Cpr67Fa1	0	0	2	0
Cpr67Fa2	6	0	0	0
Cpr67Fb	3	0	8	0
Cpr72Ea	0	0	1	0
Cpr72Eb	0	0	0	0
Cpr72Ec	7	2	4	0
Cpr73D	6	0	0	0
Cpr76Ba	0	0	0	0
Cpr76Bb	0	0	2	0
Cpr76Bc	0	0	0	0
Cpr76Bd	0	0	0	0
Cpr78Ca	0	0	0	0
Cpr78Cb	0	0	0	0
Cpr78Cc	0	0	0	0
Cpr78E	2	0	0	0
Cpr92A	0	0	0	0
Cpr92F	1	2	1	0
Cpr97Ea	11	0	4	0
Cpr97Eb	2	0	1	0
Cpsf100	139	250	165	52
Cpsf160	47	279	112	54
Cpsf73	133	267	221	62
Crag	458	267	415	46
Cralbp	1	0	3	0
Crc	2715	1530	3064	256
CrebA	17	31	47	3
CrebB-17A	941	570	684	101
Crg-1	20	0	9	0
Crk	2140	1182	1986	348
Crtc	32	35	33	2
Crtp	1	0	0	0
Cry	1	0	2	0
Crz	7	0	0	0
Csas	0	0	1	0
Csat	623	436	790	67
Csk	481	390	514	31
Csl4	994	785	903	216
Csp	625	333	538	98
CstF-50	406	346	327	87
CstF-64	266	161	221	31
CtBP	3782	1323	2844	344
Ctf4	1998	1357	1107	219
Ctr1A	326	350	291	38
Ctr1B	0	4	0	0
Ctr1C	0	0	0	0
CtsB1	1659	620	997	97
Cul-2	564	440	546	123
Cul-3	82	147	45	43
Cul-4	80	155	117	28
Cul-5	542	162	521	28
Cwc25	14	4	28	3
CycA	13279	15496	13835	2823
CycB	30299	12145	27912	2078
CycB3	856	515	568	69
CycC	115	333	177	45
CycD	233	202	334	50
CycE	3416	1129	2400	196
CycG	1147	849	799	217
CycH	505	400	359	74
CycJ	263	242	277	38
CycK	1489	689	1077	133
CycT	69	22	57	2
CycY	552	105	685	53
Cyp1	25659	23134	22886	4846
Cyp12a4	4	5	11	0
Cyp12a5	1	3	1	0
Cyp12b2	3	4	19	4
Cyp12c1	0	1	0	0
Cyp12d1-d	3	27	0	0
Cyp12d1-p	21	47	8	5
Cyp12e1	1	4	3	5
Cyp18a1	104	37	214	2
Cyp28a5	0	1	1	0
Cyp28c1	0	0	0	0
Cyp28d1	0	16	2	4
Cyp28d2	0	3	5	2
Cyp301a1	11	4	13	0
Cyp303a1	3	0	0	0
Cyp304a1	1	0	4	0
Cyp305a1	308	98	247	24
Cyp308a1	0	0	1	0
Cyp309a1	0	3	0	1
Cyp309a2	4	0	3	0
Cyp310a1	4	0	3	0
Cyp311a1	21	3	11	1
Cyp312a1	0	5	1	0
Cyp313a1	0	0	0	0
Cyp313a2	1	0	1	0
Cyp313a3	1	0	1	0
Cyp313a4	15	16	12	1
Cyp313a5	0	0	2	0
Cyp313b1	16	16	14	2
Cyp316a1	0	1	0	0
Cyp317a1	1	7	1	0
Cyp318a1	19	5	13	3
Cyp49a1	1	7	1	0
Cyp4aa1	19	4	21	1
Cyp4ac1	7	2	0	0
Cyp4ac2	2	0	0	1
Cyp4ac3	5	3	6	0
Cyp4ad1	1	0	0	0
Cyp4ae1	27	17	27	6
Cyp4c3	5	1	5	0
Cyp4d1	7	0	3	0
Cyp4d14	15	0	17	0
Cyp4d2	14	2	18	2
Cyp4d20	2	1	15	1
Cyp4d21	0	0	1	0
Cyp4d8	32	16	24	8
Cyp4e1	1	5	0	0
Cyp4e2	21	86	42	18
Cyp4e3	0	0	2	0
Cyp4g1	53	91	105	14
Cyp4g15	9	7	6	1
Cyp4p1	8	2	14	2
Cyp4p2	800	317	900	210
Cyp4p3	0	0	2	0
Cyp4s3	1020	144	919	39
Cyp6a13	72	37	59	13
Cyp6a14	27	11	4	4
Cyp6a17	10	31	7	0
Cyp6a18	1	1	2	1
Cyp6a19	2563	4070	2047	672
Cyp6a2	7	7	5	1
Cyp6a20	19	12	14	0
Cyp6a21	1	2	14	1
Cyp6a22	1229	1032	612	115
Cyp6a23	58	37	49	17
Cyp6a8	0	0	0	0
Cyp6a9	232	115	123	12
Cyp6d2	20	21	69	2
Cyp6d4	55	174	140	49
Cyp6d5	10	7	3	3
Cyp6g1	22	17	20	1
Cyp6g2	11	1	4	0
Cyp6t1	32	27	47	7
Cyp6t3	8	0	0	0
Cyp6u1	1570	887	902	199
Cyp6v1	1519	732	1790	206
Cyp6w1	2	1	1	1
Cyp9b1	9	5	0	0
Cyp9b2	28	16	19	1
Cyp9c1	3	9	25	0
Cyp9f2	163	119	90	20
Cyp9h1	0	3	8	1
Cypl	305	308	260	92
Cys	458	302	398	57
Cyt-b5	3720	3070	2638	937
Cyt-b5-r	36	10	10	0
Cyt-c-d	0	0	0	0
Cyt-c-p	6442	4329	6043	1359
D	13	0	0	0
D1	3433	2326	2449	462
D12	115	115	136	33
D19A	157	88	205	17
D19B	389	194	279	32
D2R	0	0	0	0
DAAM	380	90	343	10
DAT	26	7	1	4
DCX-EMAP	0	0	0	0
DIP1	25	74	23	3
DIP2	40	120	62	18
DJ-1alpha	8	5	0	2
DLP	99	140	90	51
DMAP1	349	169	327	28
DNA-ligI	101	194	174	31
DNApol-alpha180	24	42	46	14
DNApol-alpha50	1186	725	674	181
DNApol-alpha60	565	664	404	70
DNApol-alpha73	1366	695	830	131
DNApol-delta	309	384	392	48
DNApol-epsilon	161	133	152	34
DNApol-eta	172	181	189	28
DNApol-gamma35	297	88	231	32
DNApol-iota	324	193	295	20
DNaseII	0	6	8	0
DOR	200	19	179	15
Dab	95	71	47	17
Dad	2	15	35	5
Dak1	1512	1024	1214	243
Damm	19	2	3	3
Dap160	223	112	97	18
Dat	19	23	1	6
Dbi	30	6	19	7
Dbp45A	105	114	181	32
Dbp73D	85	92	157	27
Dbp80	853	669	811	130
Dbx	1	0	2	0
Dcp-1	173	158	309	64
Dcp1	1138	402	690	69
Dcp2	102	178	131	49
Dcr-1	35	116	119	25
Dcr-2	114	144	97	44
Dd	606	469	503	76
Ddc	14	1	15	1
Ddr	2	0	0	0
Ddx1	1115	638	864	113
Deaf1	62	20	180	1
Def	7	16	50	36
Dek	171	214	186	70
Den1	647	264	498	82
Der-1	1568	979	1091	282
Der-2	541	273	580	33
Desi	1	0	1	0
Det	390	408	294	104
Df31	19004	15662	13212	3348
Dfd	4	0	2	0
Dg	93	85	106	29
Dgk	18	12	11	1
Dgkepsilon	519	284	418	43
Dgp-1	776	322	555	79
Dh31	0	0	1	0
Dh31-R1	0	1	0	4
Dh44	0	0	0	0
Dh44-R1	1	0	1	0
Dh44-R2	40	5	32	4
Dhap-at	891	314	485	72
Dhc16F	7	0	9	0
Dhc36C	33	13	11	5
Dhc62B	11	1	10	1
Dhc64C	341	429	401	138
Dhc93AB	7	0	17	0
Dhc98D	9	8	6	0
Dhfr	1685	810	1131	135
Dhod	494	602	542	101
DhpD	1608	267	1038	54
Dhpr	1099	1019	924	261
Dic1	24	47	57	10
Dic2	0	0	6	0
Dic3	0	0	3	0
Dic4	0	0	0	0
Dic61B	7	0	9	0
Diedel	0	0	2	0
Diedel2	0	0	0	0
Diedel3	0	9	0	0
Dif	17	5	34	0
Dim1	572	543	489	95
Dip-B	2963	1683	2248	219
Dip-C	1375	731	954	165
Dip1	177	154	83	47
Dip2	390	249	339	77
Dip3	74	51	52	11
Dis3	198	296	284	48
Dl	74	73	97	46
Dlc90F	2036	967	1581	238
Dlic	366	265	511	49
Dll	0	0	1	0
Dmn	779	591	533	155
Dms	0	0	0	0
DmsR-1	0	0	1	0
DmsR-2	2	0	0	0
DnaJ-1	1414	940	917	194
DnaJ-60	128	65	79	9
DnaJ-H	1601	1174	1212	234
Dnz1	356	208	253	46
Doa	53	129	69	6
Doc1	4	0	0	1
Doc2	2	0	5	0
Doc3	0	0	2	0
Dok	538	403	583	85
DopEcR	1	0	3	0
DopR	8	0	5	2
DopR2	0	0	0	0
Dot	30	9	6	2
Dp	204	168	255	43
Dp1	254	518	605	68
Dpck	510	459	394	80
Dph5	4229	2248	3066	527
Dpit47	927	612	666	183
DppIII	2550	2047	3393	217
Dpt	0	0	2	9
DptB	0	2	5	6
Dpy-30L1	95	42	63	8
Dpy-30L2	0	0	0	0
Dr	0	0	1	0
Drak	283	104	338	23
Dredd	143	171	106	26
Dref	282	265	386	64
Drep-1	1164	209	637	47
Drep-2	2204	1062	1134	119
Drep-3	0	0	0	0
Drep-4	140	214	74	46
Drip	34	11	115	7
Drl-2	1	0	9	0
Dro	4	0	9	0
Droj2	2557	1878	2393	245
Drp1	1155	493	906	95
Drs	25	55	57	7
Drsl1	0	0	0	0
Drsl2	3	0	2	0
Drsl3	2	0	2	0
Drsl4	0	0	0	0
Drsl5	0	0	0	2
Drsl6	0	0	0	0
Dscam	10	4	20	0
Dscam2	3	0	90	42
